Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(113272k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=104857600 -XX:MaxHeapSize=104857600 -XX:MaxNewSize=34955264 -XX:MaxTenuringThreshold=6 -XX:NewSize=34955264 -XX:OldPLABSize=16 -XX:OldSize=69902336 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
17.597: [GC (Allocation Failure) 17.597: [ParNew: 28067K->627K(30720K), 0.0043648 secs] 60687K->33357K(99008K), 0.0044890 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
17.765: [GC (Allocation Failure) 17.765: [ParNew: 27949K->517K(30720K), 0.0054997 secs] 60678K->33262K(99008K), 0.0056022 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
17.954: [GC (Allocation Failure) 17.954: [ParNew: 27845K->858K(30720K), 0.0054900 secs] 60590K->33611K(99008K), 0.0055910 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
18.138: [GC (Allocation Failure) 18.138: [ParNew: 28186K->991K(30720K), 0.0030169 secs] 60939K->33755K(99008K), 0.0031238 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
18.309: [GC (Allocation Failure) 18.309: [ParNew: 28319K->1012K(30720K), 0.0051582 secs] 61083K->33874K(99008K), 0.0052644 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
18.548: [GC (Allocation Failure) 18.548: [ParNew: 28340K->1096K(30720K), 0.0053905 secs] 61202K->33971K(99008K), 0.0056901 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
18.723: [GC (Allocation Failure) 18.723: [ParNew: 28424K->1211K(30720K), 0.0058869 secs] 61299K->34100K(99008K), 0.0060287 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
18.907: [GC (Allocation Failure) 18.907: [ParNew: 28539K->1257K(30720K), 0.0049382 secs] 61428K->34155K(99008K), 0.0050775 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
19.085: [GC (Allocation Failure) 19.085: [ParNew: 28585K->1364K(30720K), 0.0050275 secs] 61483K->34273K(99008K), 0.0051570 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
19.303: [GC (Allocation Failure) 19.303: [ParNew: 28692K->929K(30720K), 0.0036822 secs] 61601K->33852K(99008K), 0.0037703 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
19.480: [GC (Allocation Failure) 19.480: [ParNew: 28257K->959K(30720K), 0.0040451 secs] 61180K->33891K(99008K), 0.0041250 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
