Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(406036k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=524288000 -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
36.654: [GC (Allocation Failure) 36.654: [DefNew: 136700K->160K(153600K), 0.0032552 secs] 167511K->30970K(494976K), 0.0033645 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
36.863: [GC (Allocation Failure) 36.863: [DefNew: 136736K->127K(153600K), 0.0031735 secs] 167546K->30937K(494976K), 0.0032817 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
37.084: [GC (Allocation Failure) 37.084: [DefNew: 136703K->145K(153600K), 0.0034814 secs] 167513K->30955K(494976K), 0.0036027 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
37.304: [GC (Allocation Failure) 37.304: [DefNew: 136721K->134K(153600K), 0.0036051 secs] 167531K->30944K(494976K), 0.0037159 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
37.516: [GC (Allocation Failure) 37.516: [DefNew: 136710K->139K(153600K), 0.0044309 secs] 167520K->30949K(494976K), 0.0045313 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
37.716: [GC (Allocation Failure) 37.717: [DefNew: 136715K->140K(153600K), 0.0029593 secs] 167525K->30951K(494976K), 0.0030483 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
37.915: [GC (Allocation Failure) 37.916: [DefNew: 136716K->160K(153600K), 0.0029341 secs] 167527K->30970K(494976K), 0.0030149 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
Heap
 def new generation   total 153600K, used 79384K [0x00000007a0c00000, 0x00000007ab2a0000, 0x00000007ab2a0000)
  eden space 136576K,  58% used [0x00000007a0c00000, 0x00000007a595dfe0, 0x00000007a9160000)
  from space 17024K,   0% used [0x00000007a9160000, 0x00000007a9188130, 0x00000007aa200000)
  to   space 17024K,   0% used [0x00000007aa200000, 0x00000007aa200000, 0x00000007ab2a0000)
 tenured generation   total 341376K, used 30810K [0x00000007ab2a0000, 0x00000007c0000000, 0x00000007c0000000)
   the space 341376K,   9% used [0x00000007ab2a0000, 0x00000007ad0b6938, 0x00000007ad0b6a00, 0x00000007c0000000)
 Metaspace       used 36380K, capacity 38080K, committed 38448K, reserved 1083392K
  class space    used 4525K, capacity 4841K, committed 4912K, reserved 1048576K
